Product Name,Old Price,New Price,Discount,Rating,Ratings Count
Fashion Men's Casual Vintage Turtleneck Polo Long Sleeve Office Shirts,13841506.0,962,36%,3.6,85.0
Fashion Breathable Fashion Soft Soled Canvas Shoes-blue,1190.0,790,34%,,67.0
Multi-Functional Electric Blowdry Hair Dryer Curler Hot Comb Brush Straightener,2305.0,1440,38%,4.2,68.0
Sports Wireless Bluetooth Earphone Neck Hanging Headset,475.0,274,42%,3.3,67.0
"Fashion Polarized Sunglasses For Men, Lightweight Sun Glasses With UV Protection",950.0,584,39%,3.9,16.0
LASA Posture Corrector Clavicle Fracture Back Shoulder Correction Brace,950.0,650,32%,3.8,12.0
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,13781500.0,800,47%,3.6,36.0
Fashion 2 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,2304.0,1259,45%,3.6,153.0
Yixin 3 PCS/Sets Tshirt T-shirt Men Wear Men Suit Men Coat Short Sleeve,1799.0,1299,28%,3.9,40.0
Fashion Lace Up Sneakers Men's Shoes-Black,890.0,590,34%,3.6,25.0
Fashion Women Shoes Ladies Shoes Sneakers Women-red,980.0,539,45%,3.1,179.0
Fashion Men Glossy Casual Brogue Official Leather Shoes Oxford Loafers & Slip-Ons Black,4049.0,2599,36%,4.3,105.0
Lenovo LP40 Pro Bluetooth  Earbuds Headset With Mic Black,1299.0,1023,21%,3.9,96.0
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,2468.0,1169,53%,3.6,486.0
ASHION 2024 Men's Fashion Sneakers Shoes - A Perfect Blend Of Style And Comfort,2849.0,1390,51%,4.1,46.0
Fashion Mens Genuine Luxury Leather Belt - Brown,900.0,535,41%,4.1,74.0
380ml USB Rechargeable & Multifunctional Juice Blender Cup,1775.0,999,44%,3.4,24.0
S20 Wireless Bluetooth Earphone LED Display,1150.0,591,49%,3.7,39.0
Fashion Men's Casual Windbreak Lightweight Blazer Zipper Jacket & Coats - Dark Gray,1500.0,980,35%,,116.0
Fashion Women Shoes Sandals Heels Ladies Shoes Casual Shoes,1699.0,899,47%,3.4,55.0
3600Miles Digital Antenna TV Indoor Signal Amplifier 4K UHD,1599.0,1024,36%,,25.0
Fashion Men's Shoes High Top Martin Boots-brown,2000.0,10791199,46%,3.2,12.0
Fashion Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes  Welcome To Smark,998.0,599,40%,,21.0
Fashion Ladies Shoes Fish Mouth Sandals Women Style Roman Versatile Fashion Black Heels,1998.0,1099,45%,3.3,14.0
Fashion Mens Polos Casual Trendy T-shirt Joggers Short Sleeve Shirts Official - Navy,1252.0,850,32%,3.7,98.0
Fashion Women Shoes For Women Shoes Ladies,940.0,649,31%,3.1,47.0
"Automatic Toothpaste Dispenser, Toothbrush Holder",1800.0,882,51%,3.3,26.0
"Spliced Design Cargo Pants, Loose Casual Pants, Leggings For Men - Blue",1300.0,688,47%,3.3,9.0
Fashion Men's Fashionable White Elegant Shoes Office Flat Leather Loafer Casual Rubber,1990.0,1160,42%,3.6,28.0
Fashion Digital Sport Watch Men Sports Watch,710.0,382,46%,3.4,58.0
Fashion Mens Trench Coats Casual Blazers Windbreak Bomber Lightweight Trendy Jackets-Navy Blue,2818.0,1600,43%,3.7,85.0
Lenovo LP5 Bluetooth Headset TWS Earphones Stereo Sport Headsets,2388.0,1490,38%,4.5,69.0
2.4G Wireless Gaming Mouse RGB Rechargeable Mice Silent Mouse,1249.0,712,43%,4.5,106.0
1080P 2.4G 360° Wifi Bulb Panoramic IP Camera Night Vision,3000.0,1544,49%,3.3,70.0
Fashion Men's Palm Casual Half Open Soft Sandals PU Leather Shoes Slippers Official Black,1894.0,1200,37%,3.4,32.0
Fashion Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,1425.0,738,48%,4.1,7.0
Hair Clipper Hair Trimmer Electric Shaver USB Cordless,1399.0,647,54%,4.3,59.0
"C Idea Tablet 7-Inch, Android Dual Camera 6GB+128GB Storage, Adult Tablet Blue",9000.0,4899,46%,4.2,6.0
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,13781500.0,900,40%,,40.0
Oppo Refurbished A83 4GB+ 64GB Smartphone - 4G LTE Dual Card 5.7-inch Display - Face Unlock（Black）,12800.0,7667,40%,3.3,21.0
Fashion Men's Trendy Zipper Comfort Hoodie Varsity Sport Coat Jacket Sweatshirts - White,1384.0,837,40%,,234.0
Fashion Leather Strap Men's Sport Watch-Brown,1763.0,947,46%,3.6,62.0
Fashion 2 In 1 Tracksuits Mens Suits Track Suit Sportswear,2703.0,1800,33%,3.9,167.0
Wlisth ST003 Men Fashion Sport Quartz Business Watch,1844.0,1029,44%,4.4,429.0
Fashion Men's Casual Windbreak Lightweight Blazer Zipper Jacket & Coats - Dark Gray,1568.0,980,38%,3.7,289.0
Fashion Mens Sneakers Outdoor Hiking Mesh Fabric Non-slip Sports Breathable Shoes Blue,1600.0,1050,34%,3.4,7.0
2PS Men's Long-sleeved Shirt + Short-sleeved Shirt No-iron Casual Work Collar Top,1760.0,920950,48%,,3.0
Fashion Men's Shoes Loafers Slip-Ons Fashion Sneakers Casual Sports Shoes Canvas Shoes,1699.0,11891389,30%,3.8,58.0
Wlisth Men's European Business Waterproof Watch,1800.0,855,53%,4.4,82.0
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Blcak),22999.0,12999,43%,4.5,28.0
RichRipple JR01 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,1561.0,931,40%,,44.0
Fashion Mens Loafers Slip-on Office Leather Casual Comfortable Shoes Grey,1600.0,1560,3%,3.5,6.0
LASA 4 TIER METAL TOWER 20 PAIR SHOE RACK STORAGE ORGANIZER UNIT,2400.0,1650,31%,4.6,25.0
Fashion Men Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Corporate Black,1524.0,777,49%,,3.0
Fashion Mens Vintage Graffiti Short Patterned Sleeve Button-Down Hawaii Beach Shirt-Red,1274.0,752835,41%,3.1,57.0
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,1000.0,890,11%,4.2,16.0
Fashion Women Sneakers Shoes Ladies Sneakers Women Shoe,940.0,699,26%,3.7,78.0
Fashion Men's Formal Casual Peplum Shoes - White,17492125.0,1190,44%,3.9,94.0
Fashion Men's Outdoor Fashion Casual Sports Shoes - Brown,21722725.0,13491499,50%,3.5,32.0
Fashion Mesh Men's Sports Running Shoes - Black,1200.0,780,35%,3.4,12.0
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,1899.0,899,53%,4.1,79.0
Fashion Men's Color Stitching Polos Shirts Round Neck Short Sleeve T-shirt Business,12661378.0,880,36%,3.2,88.0
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Blue,21000.0,13607,35%,4.5,11.0
Stereo F9 Bluetooth Earphone Power Headset,1133.0,634,44%,3.8,13.0
Fashion Lace Up Sneakers Men's Shoes-Black,990.0,540,45%,3.1,44.0
Bracket With Speaker Wireless Speaker Bluetooth Speaker Foldable Speaker Phone Stand,943.0,448,52%,3.5,82.0
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,13781500.0,960,36%,,43.0
Weight Scale Weighing Scales Digital Body Scales With LCD Display,1629.0,899,45%,4.2,51.0
Fashion Classic Ladies Anti Blue Light Cat Eye Glasses,899.0,499,44%,4.4,12.0
